Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14051596
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6537120
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3693993
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5520794
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2640429
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,398886
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510374
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,253105
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382116
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,108945
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,244029
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141190
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,88169
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,267040
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44217
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31426
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,28009
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46575
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19554
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21211
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11113
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2514
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,726
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1032
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,14055612
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6536876
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3692582
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,5526580
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2642620
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,398645
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,510716
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,252862
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,382398
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,244357
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,108817
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,141187
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,88054
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,267639
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,44166
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,31381
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,27967
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,46683
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,19572
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,21240
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,11138
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,2517
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,1032
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,726
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,14060699
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,6536871
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,3692400
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,5533338
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,2644944
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,398382
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,511009
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,382551
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,252636
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,244676
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,141142
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,108745
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,268228
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,88074
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,44150
